P01901859A0000|0 59|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P10848993A0000|179|4 32|serine/threonine protein kinase
P08703005A0645|106|4 32|60-kDa CCAAT box-binding protein
P10931960A0630|136|4 32|herpes simplex viral protein VP16
P08441379A0912|99|4 32|simian virus 40 enhancer elements
P11059786A0682|111|4 32|phosphatidylinositol 3'-kinase
P11059786T0000|143|4 32|phosphatidylinositol 3'-kinase
P09705324A0213|105|4 32|CCAAT/enhancer-binding protein
P09545353A1071|53|4 32|activating transcription factor
P02115121A0000|132|4 32|dihydrolipoyl transsuccinylase
P03001086A0587|131|4 32|heat-inducible dnaK gene product
P07580058A0000|88|4 32|plasminogen activator inhibitor
P01454819A0000|111|4 32|ADP-ribosylarginine hydrolases
P08808707A0631|78|4 32|stress-activated protein kinase
P07826625X0000|306|4 32|mammalian TATA-binding proteins
P08816504T0000|108|4 32|SH2-domain-containing proteins
P08999857A0801|122|4 32|alpha1(I) collagen gene promoter
P08230418A0812|100|4 32|urokinase plasminogen activator
P08828152A1825|87|4 32|eukaryotic polymerases II and III
P10757983A0733|125|4 32|Kruppel-like zinc finger protein
P09105042A1497|145|4 32|mutant myosin heavy chain protein
P08910292T0000|79|4 32|stress-activated protein kinase
P01413984A0737|160|4 32|plasminogen activator inhibitor
P01549123A0480|86|4 32|bZIP transcriptional activators
P08021225A0000|104|4 32|dihydrolipoamide dehydrogenase
P01653238A1062|151|4 32|transforming growth factor beta 1
P08621730T0000|98|4 32|transforming growth factor-beta
P00593119T0001|75|4 31|allergospecific IgE antibodies
P10891441A0871|91|4 31|phosphatidylinositol 3' kinase
P08334989A0070|80|4 31|mouse B-myb 5' flanking sequence
P09234713A0754|79|4 31|recombination-activating gene
P09325273A1240|89|4 31|branched poly-ubiquitin chains
P08625900T0000|169|4 31|thyrotropin-releasing hormone
P10536125A0093|100|4 31|influenzavirus neuraminidases
P09115395A0478|276|4 31|Schizosaccharomyces pombe Cdc5
P10467403A0000|109|4 31|phosphatidylinositol 3-kinase
P07948129A0297|188|4 31|neomycin phosphotransferase II
P10512857A0000|92|4 31|TCF-type transcription factors
P09148903A1715|107|4 31|NF-kappaB transcription factor
P01918073A0150|546|4 31|mammalian TnIcardiac sequences
P09312025A0373|80|4 31|phosphatidylinositol 3-kinase
P07890599A0132|232|4 31|Saccharomyces cerevisiae Sec1p
P11280799A1025|93|4 31|PTHrP-neutralizing antibodies
P08455611A0000|79|4 31|alpha globin regulatory element
P09346935A0927|250|4 31|KRAB multifinger protein family
P07743697A0703|173|4 31|angiotensin-converting enzyme
P08195186A0000|140|4 31|cationic amino acid transporter
P08387743A0624|128|4 31|active Mn-superoxide dismutase
P01649318A0734|74|4 31|herpes simplex virus TK promoter
P07791763T0000|79|4 31|phosphatidylinositol 3-kinase
P09621893A0000|75|4 31|vascular alpha2-adrenoceptors
P09528768A0000|122|4 31|ER-resident chaperone proteins
P08460918A0252|184|4 31|gamma-glutamyltranspeptidase
P07758459A1277|171|4 31|ABF1 consensus binding sequence
P11006284T0000|99|4 31|phosphatidylinositol 3-kinase
P07601827A0778|96|4 31|pfl promoter-regulatory region
P10684265T0000|93|4 31|ubiquitin-homologous proteins
P10704283A0649a|145|4 31|human IL-4 cytokine gene cluster
P08970984A0765|97|4 31|YY1 class transcription factors
P08955111A0989|127|4 31|human activin betaA subunit gene
P07948129A0297|149|4 31|SV40 virus early region promoter
P10212278A0387|101|4 31|c-Jun N-terminal protein kinase
P11416012T0000|177|4 31|phosphatidylinositol 3-kinase
P10318806A0918|117|4 31|phosphatidylinositol 3-kinase
P10087993A1352|95|4 31|beta globin gene flanking region
P09098066A0119|209|4 31|cytadherence-regulatory locus
P01849509T0000|175|4 31|Thiobacillus ferrooxidans IST2
P07655509T0000|88|4 31|PS-IAA4 from pea (Pisum sativum)
P10329736A0681|80|4 31|phosphatidylinositol 3-kinase
P07747462A0332|190|4 31|parvoviral replicator proteins
P02153243A0965|76|4 31|fibroblast growth factor family
P10413676A0595|74|4 31|Tyr-397/SH2 domain binding site
P01547775A1024|168|4 31|ORF2a/ORF2b transframe protein
P10767553A0100|91|4 31|Hepatocyte Nuclear Factor 3beta
P10734312A0503|120|4 31|Ras membrane localization motif
P09111048X0000|124|4 31|neuronal nitric-oxide synthase
P07929165T0000|44|4 31|actinorhodin biosynthetic gene
P10438924T0000|98|4 31|phosphatidylinositol 3-kinase
P07935447A0972|219|4 31|alpha-myosin heavy-chain genes
P10781423A0993|102|4 31|thyroid transcription factor-1
P10446149A0809|98|4 31|phosphoinositol-3 kinase delta
P11000521A0588|224|4 31|phosphatidylinositol 3-kinase
P00627129A0944|165|4 30|alpha-and beta-adrenoceptors
P07537736A0453|166|4 30|cytokine receptor superfamily
P08620856A1172|192|4 30|spermatid-specific c-kit cDNA
P08246984A0923|103|4 30|PI 3-kinase catalytic subunits
P11034547A0674|119|4 30|homeodomain recognition sites
P01409643A0618|205|4 30|TATA element modulatory factor
P11196199T0000|52|4 30|cyclic AMP-responsive element
P08626698A0989|97|4 30|anti-ERK3 monoclonal antibody
P09892021A0712|82|4 30|basic fibroblast growth factor
P08719155A0105|245|4 30|circumsporozoite (CS) protein
P11108151A0560|115|4 30|dominant negative EGF-R mutant
P08728040T0000|115|4 30|basic fibroblast growth factor
P02120707A0594|103|4 30|HLA-DRA X-box oligonucleotide
P10542249A0415|95|4 30|CAAT enhancer-binding protein
P08289831A0290|109|4 30|IFN-gamma-responsive element
P08590465A0773|88|4 30|S. cerevisiae URA2 gene product
P01692962A0980|126|4 30|cAMP-dependent protein kinase
P08686381A0527|99|4 30|polyadenylate binding protein
P11311153T0000|80|4 30|angiotensin converting enzyme
P08868954A0648|123|4 30|angiotensin converting enzyme
P08106512A0522|146|4 30|interferon regulatory factor 1
P10739671A0136|287|4 30|interferon regulatory factors
P08429019A2022|117|4 30|yeast ABF-1 consensus sequence
P08529654A0589|66|4 30|cytosolic cyclophilin isoform
P07871721A0392|107|4 30|papain-like proteinase domain
P08195186A0000|112|4 30|ecotropic retrovirus receptor
P10762254A0954|109|4 30|DMA and TMA methyltransferases
P11246887A0000|105|4 30|phospholipid transfer protein
P10400712A0577|194|4 30|hemagglutinin-neuraminidase
P11274357A0724|170|4 30|nucleoside diphosphate kinase
P08769132A0000|166|4 30|Sacchromyces cerevisiae MSH-1
P03934667A0124|145|4 30|wild-type rpoD coding sequence
P01630455A0448|142|4 30|human and murine IL-1 beta genes
P10674395A0262|163|4 30|cGMP-dependent protein kinase
P09421511A0827|86|4 30|telomerase RNA-gene promoters
P10607899A0605|114|4 30|estrogen receptor binding site
P10628971A0824|99|4 30|vacuolar protein sorting genes
P10691972T0000|120|4 30|multidrug resistance protein 3
P10026146A0680|238|4 30|cAMP-dependent protein kinase
P10049912T0000|76|4 30|single-strand DNA exonuclease
P11416012A2511|206|4 30|phophatidylinositol 3-kinase
P09971776A0838|133|4 30|AP-recruiting dileucine motif
P03025655T0000|117|4 30|Fujinami sarcoma virus P130gag
P01977585A0222|121|4 30|cAMP-dependent protein kinase
P10233147A0218|124|4 30|cAMP-dependent protein kinase
P01375913A0484|94|4 30|T7 RNA polymerase promoter site
P01313846A0850|212|4 29|neural cell adhesion molecule
P01742606A0000|121|4 29|235 kDa spectrin beta-subunit
P02760922A0000|76|4 29|mammalian hnRNP 40 S particles
P01413984A0737|190|4 29|tissue plasminogen activator
P07797077A0842|105|4 29|interferon regulatory factor
P07499421A0237|93|4 29|CYP3A1 5'-flanking sequences
P09205965A1249|144|4 29|spinal alpha 1-adrenoceptors
P07707544T0000|82|4 29|immediate-early transcripts
P07453919A0000|121|4 29|alkaline and acid phosphatase
P08710371A0000|77|4 29|tumor-suppressor protein p53
P01899409T0000a|94|4 29|tissue plasminogen activator
P09200811T0000|81|4 29|pGKL1-plasmid DNA polymerase
P09233772A0136|395|4 29|carboxy-terminal HECT domain
P10454561A0594|85|4 29|acetate-phytohemagglutinin
P09233772A0136|437|4 29|E3 ubiquitin-protein ligases
P09325273A1240|232|4 29|linear poly-ubiquitin chains
P02293019A0000|112|4 29|serine lysosomal proteinases
P07890599A0132|202|4 29|Caenorhabditis elegans unc18
P11123912A0306|111|4 29|polyomavirus middle T antigen
P09765261A0000|187|4 29|viral Tax-responsive element
P08922385A0622|77|4 29|beta-galactosidase tetramer
P01925092A0304|86|4 29|tissue plasminogen activator
P10933732A0000|145|4 29|interferon regulatory factor
P10502216A0289|96|4 29|tissue plasminogen activator
P10369926A0251|106|4 29|mammalian CXC chemokine genes
P11156413T0000|75|4 29|polyomavirus middle T antigen
P09704569T0000|81|4 29|steroid receptor superfamily
P07237560A1038|122|4 29|concatenated Hind III linkers
P07916326A0000|79|4 29|homeodomain-containing gene
P09735371A0227|109|4 29|LIM-type homeodomain protein
P09369450A1358|267|4 29|steroid receptor coactivator
P07592647T0000|97|4 29|Pur alpha recognition element
P07513703T0000|111|4 29|insulin receptor substrate-1
P09370307A0093|142|4 29|MYB-like DNA binding proteins
P02118519A0516|135|4 29|68-kDa neurofilament protein
P02685331A0523|178|4 29|sigma 54-dependent promoters
P07829519A1251|145|4 29|immunoglobulin mu heavy chain
P08474438A0000|76|4 29|RNA polymerase II transcripts
P08952965A1182|96|4 29|tamarin variable region genes
P09872326A0566|86|4 29|heat shock protein 70 promoter
P09261155A0833|84|4 29|insulin receptor substrates 1
P02154686A0185|149|4 29|polyomavirus enhancer region
P10601290A0742|192|4 29|class I MHC-peptide complexes
P09006051A1162|290|4 29|acetyl coenzyme A synthetases
P11254504A0766|153|4 29|myeloid zinc finger protein-1
P11409425A0000|100|4 29|tissue plasminogen activator
P06185493A0468|116|4 29|bovine muscle pyruvate kinase
P01585014A0000|394|4 29|follicle stimulating hormone
P10640683A0670|108|4 29|rat insulin promoter element 3
P08835969A0000|202|4 29|human chorionic gonadotropin
P09914156A1496|128|4 29|collagen-dependent promoter
P00224013A0661|335|4 28|beta-Vasodilator receptors
P01469047A1606|132|4 28|glutamic acid decarboxylase
P01529530T0000|92|4 28|ISGF3 transcription complex
P09504423A0114|134|4 28|glutathione-S-transferase
P02118519A0516|104|4 28|nerve growth factor receptor
P08643578A0000|164|4 28|mating pathway reporter FUS1
P08649403A0963|82|4 28|SNF1-encoded protein kinase
P07768953T0039|92|4 28|calmodulin-binding IQ motif
P08622030A0667|127|4 28|serum lactate dehydrogenase
P01791754T0000|92|4 28|Escherichia coli haemolysin
P09209406A1021|80|4 28|GTPase-activating proteins
P02758382A0478|116|4 28|sex hormone binding globulin
P02789062A1420|141|4 28|NF-4FB recognition sequence
P09774641A0824|92|4 28|retinoblastoma gene product
P10366503A0812|207|4 28|terminase interaction sites
P09192769T0000|94|4 28|human C-C chemokine receptor
P10414451A0093|144|4 28|anticardiolipin antibodies
P08386318A1102|91|4 28|cyclic AMP-dependent kinase
P07760841A0647|83|4 28|ADH2 basal promoter elements
P01387105A0933|135|4 28|cyclin B1-related sequences
P08148463A0000|111|4 28|granulocyte-macrophage CSF
P09305755A0540|125|4 28|hepatocyte nuclear factors 1
P02949170A0184|135|4 28|sex hormone binding globulin
P01849509T0000|147|4 28|Staphylococcus aureus IS256
P02022188A0112|156|4 28|high mobility group proteins
P09753774A2246|88|4 28|fructosyl transferase genes
P08524272T0000|98|4 28|tyrosine phosphatase SHPTP1
P08630548A0000|105|4 28|tumor necrosis factor-alpha
P07592946A0997|285|4 28|hepatocyte nuclear factor-5
P10517672A1417|86|4 28|CCAAT transcription factor 1
P11139567A1440|100|4 28|G protein beta gamma subunits
P11106428A0635|140|4 28|glutathione-S-transferase
P09723896A0000|164|4 28|9-cis retinoic acid receptor
P10521509A0000|93|4 28|G protein gamma subunit-like
P08523545T0000|107|4 28|adenovirus type 5 early genes
P11069756A2618|322|4 28|paxillin-binding subdomain
P02026147A0000|123|4 28|mammalian type II CaM kinases
P08955189A1198|118|4 28|EGR-1 transcription factors
P10559364A0846|198|4 28|UL112-113 accessory protein
P08955136A0606|89|4 28|erythroid PIP5KI antibodies
P07508441A0487|284|4 28|human homologue of annexin XI
P08566754A0783|126|4 28|alternative splicing factor
P08585957A0101|193|4 28|high mobility group proteins
P08127950A0000|184|4 28|thyroid stimulating hormone
P08106512A0522|117|4 28|interferon-alpha and -gamma
P11368363A0129|169|4 28|HMG-Box containing protein 1
P11369700A0616|82|4 28|transcription factors Elf-1
P11559564A0459|99|4 28|alternative splicing factor
P09872832A1262|121|4 28|tumor necrosis factor-alpha
P07601445A0207|184|4 28|ATP-dependent RNA helicases
P10572866A0481|88|4 28|aspartate aminotransferase
P09849965A0000|88|4 28|human progesterone receptor
P11406277A0598|167|4 28|parent Hlx promoter sequence
P10051488A1293|92|4 28|high mobility AP-1 complexes
P10704499A0682|120|4 28|nonreceptor tyrosine kinase
P10712618A0181|86|4 28|Bacillus subtilis aspartase
P10688646A0535|80|4 28|human alpha-globin promoter
P04033402A1112|120|4 28|hepatic triglyceride lipase
P09927589T0000|81|4 28|Drosophila melanogaster DSX
P01885613A1298|77|4 28|pro alpha 1(II) collagen gene
P08824798A0761|87|4 28|human cysteine-rich protein
P01588315A0356|79|4 28|polyhedrin primary sequence
P00352569A0000|90|4 27|Escherichia coli endotoxin
P10233946A0000|238|4 27|cellular Rex-like proteins
P07883193A0000|175|4 27|glutathione S-transferase
P10318806A0918|149|4 27|GTPase-activating protein
P01448917A0775|120|4 27|red clover mottle virus RNA 1
P09211913A0000|117|4 27|hypoxia-inducible factor 1
P10082137A0262|145|4 27|alpha1(I) procollagen mRNA
P01452037A0000|124|4 27|triosephosphate isomerase
P07916577A0190|107|4 27|Kruppel-related sequences
P06782869A0263|148|4 27|serum alkaline phosphatase
P07520098A0211|99|4 27|class I Kb-encoded sequence
P01646157A0414|161|4 27|human alpha-galactosidase
P07537851A0000|153|4 27|tumor necrosis factor alpha
P02196565T0000|99|4 27|general regulatory factor I
P10454561A0594|113|4 27|tumor necrosis factor alpha
P10359792A0610|87|4 27|dCtBP corepressor proteins
P10438924A1009|82|4 27|glycogen synthase kinase-3
P01909027A0922|90|4 27|fork head DNA binding domain
P10392266A0111|99|4 27|monoclonal immunoglobulin
P11007777A0813|87|4 27|aspartyl beta-hydroxylase
P10972980A0295|117|4 27|heterotrimeric G-proteins
P10807903A0362|110|4 27|wild-type (wt) D1 receptors
P11053370A0708|77|4 27|glutathione S-transferase
P11127200A1024|92|4 27|AP-1 transcription factors
P02648646A0932|150|4 27|platelet activating factor
P10490955T0000|135|4 27|thrombospondin-1 peptides
P09153319A1332|79|4 27|collagen promoter sequence
P01909027A0922|169|4 27|hepatocyte nuclear factors
P10501965A0879|162|4 27|G-protein coupled receptor
P01313846A0850|159|4 27|carcinoembryonic Ag family
P09765271A1108|171|4 27|tyrosine aminotransferase
P08218230A1505|96|4 27|hepatocyte nuclear factor 1
P08970984A0765|156|4 27|tumor necrosis factor alpha
P09005273A1558|150|4 27|neuropathy target esterase
P08569684A0000|105|4 27|eukaryotic protein kinase C
P08575754T0000|94|4 27|cyclin D-dependent kinases
P09003312A0740|89|4 27|microbial photolyase genes
P10473623A0081|134|4 27|activin-responsive factor
P08021175A0486|92|4 27|cyclic AMP receptor protein
P10476970A0542|127|4 27|heterotrimeric G-proteins
P11353774A0255|119|4 27|hepatocyte nuclear factor 3
P08223613A0519|123|4 27|trehalose synthase complex
P07802655T0000|96|4 27|L14 ribosomal protein genes
P01511950T0000|96|4 27|hepatitis B surface antigen
P09710614T0000|125|4 27|phosphoinositide 3-kinase
P08842143A0000|126|4 27|hupSLCDEFGHIJK-hypABFCDE
P11505407A0461|98|4 27|tumor necrosis factor alpha
P07776685A0000|100|4 27|recombinant interleukin-2
P09418861A0623|107|4 27|pleckstrin homology domain
P08649389A0000|83|4 27|11-zinc-finger factor CTCF
P09428787A0138|85|4 27|p69/71 2-5A synthetase gene
P11254504A0766|216|4 27|Cdx protein-2 binding sites
P10648619A0000|131|4 27|silkworm tRNA(C)(Ala) gene
P09423310A0251|127|4 27|Factor VIII related antigen
P03953361A0000|100|4 27|myocardial creatine kinase
P02903500A0278|140|4 27|immunoglobulin heavy chain
P11419938T0000|130|4 27|diphtheria toxin repressor
P08350398A1616|140|4 27|class I heavy (alpha) chains
P09565606A0520|95|4 27|repZ ribosome-binding site
P11416012A1982|231|4 27|Rous sarcoma virus promoter
P08702644A0499|92|4 27|decay-accelerating factor
P08702845A0000|81|4 27|human dopamine transporter
P01895393A0745|125|4 27|RNA polymerase III promoter
P08732665A0000|204|4 27|insulin-like growth factor
P02052592A0000|260|4 27|tumor necrosis factor alpha
P02839488A1314|91|4 27|human erythrocyte type-1 Gs
P01547957A1083|185|4 27|CYP3-specific DNA fragment
P01280807A0575|80|4 27|ThrRS/CGU operator complex
P10752475A1376|210|4 27|anti-(mouse Ig) antibodies
P07601445A0207|79|4 27|WM6 Drosophila gene product
P10775585A0754|149|4 27|mitogen-activated protein
P03015628A1078|169|4 27|serum alkaline phosphatase
P07616569A0168|107|4 27|NADH dehydrogenase complex
P01431380A0244|140|4 26|anti-SF group rickettsiae
P02118525A0737|135|4 26|thymidine kinase promoter
P09121432A0000|89|4 26|protein-tyrosine kinases
P02536096A0327|181|4 26|thymidine kinase promoter
P10790390X0000|218|4 26|gypsy insulator sequences
P09010223A1850|136|4 26|ETS transcription factors
P07592710T0000|78|4 26|immunoglobulin kappa gene
P08977401A0227|218|4 26|RI alpha complementary RNA
P09006022A0252|82|4 26|T7 RNA polymerase promoter
P07936650A0656|130|4 26|Ets-2-Conserved sequence
P09050867A0542|93|4 26|POU-homeodomain proteins
P09705258A0837|109|4 26|Escherichia coli lacZ gene
P11069756A2618|96|4 26|Papillomavirus E6 protein
P07476963A0000|78|4 26|nuclear hormone receptors
P11202434T0000|110|4 26|acyl-CoA-binding protein
P10931927A0655|142|4 26|HIV reverse transcriptase
P11145571A0788|98|4 26|gamma-activated sequence
P07080496A0097|148|4 26|low-density lipoproteins
P07563090A0124|182|4 26|integrase coding sequence
P07488247T0000|78|4 26|aryl hydrocarbon receptor
P08642282A1009|98|4 26|B7 costimulatory molecule
P08882710A0000|99|4 26|interferon-alpha and beta
P08164661A0414|135|4 26|RNA polymerase III factors
P10564495A0444|92|4 26|carcinoembryonic antigen
P11323419T0000|50|4 26|secretor blood group alpha
P09737453A0557|84|4 26|heparin/platelet factor 4
P09716183A1036|123|4 26|ERK kinase consensus sites
P09716183A1036|151|4 26|TBP amino-terminal domain
P09632734A0081|96|4 26|GDP/GTP exchange proteins
P09689047A0253|170|4 26|Golgi sialyltransferases
P07636179A0000|100|4 26|cyclin-dependent kinases
P10551879T0000|118|4 26|green fluorescent protein
P11355576A1125|202|4 26|E2F transcription factors
P09632734A0081|137|4 26|small GTP binding proteins
P09524222A0769|320|4 26|calmodulin binding domain
P08861955A0927|154|4 26|small GTP binding proteins
P02879906A0000|93|4 26|beta adrenoceptor subtype
P07528772A0616|172|4 26|COOH-terminal SH2 domains
P11438666A0555|134|4 26|mammalian TFIID component
P09990507A0763|99|4 26|F-box/WD-repeat proteins
P09620273A0189|111|4 26|E2F transcription factors
P09519828A0809|118|4 26|E2 transactivation domain
P10022032A0000|85|4 26|beta-adrenergic receptor
P08429019A0735|142|4 26|GATA-1 consensus sequence
P09537295T0000|87|4 26|androgen-binding protein
P09537361A0149|111|4 26|colicin V immunity protein
P01547942A0120|97|4 26|C/EBP-homologous protein
P11410679A0000|92|4 26|LOX recognition sequences
P02110148A0423|236|4 26|entire IF2 structural gene
P10722661A0146|80|4 26|S. cerevisiae PHO80 cyclin
P09829836A0000|107|4 26|cyclin- dependent kinases
P10318806A0000|121|4 26|c-Jun NH2-terminal kinase
P10339552A0361|111|4 26|Drosophila doublesex gene
P10207041A0065|135|4 26|cyclin-dependent kinases
P10747099A0507|88|4 26|Crk-associated substrate
P09211913A0000|86|4 26|aryl hydrocarbon receptor
P07509449A0000|157|4 26|Src homology regions 2 and 3
P08626437A0332|134|4 26|recombinant human p34cdc2
P09182707A0254|80|4 26|cytosolic tyrosine kinase
P09233772A0136|233|4 26|small GTP-binding protein
P09233772A0136|315|4 26|heterotrimeric G proteins
P01845885A1003|292|4 26|UL26 transcriptional unit
P09234727A0770|87|4 26|Gal4-binding DNA elements
P10367646A0569|123|4 26|alanine aminotransferase
P10400794T0000|103|4 26|latent membrane proteins 1
P09781871A0404|290|4 26|rsmA in Erwinia carotovora
P10359673A0000|110|4 26|GCN4 transcription factor
P09171389A0549|148|4 26|PyrR attenuation proteins
P09325273A1240|291|4 26|ubiquitin fusion proteins
P02418701A0000|88|4 26|carcinoembryonic antigen
P07542616A0486|99|4 26|yeast initiation factor-3
P08386592A0089|186|4 26|42 kd cellular Elk-1 kinase
P10506143A0610|192|4 26|small GTP binding proteins
P01321332A0970|106|4 25|apoAI gene basal promoter
P09315631A1064|166|4 25|delta por1 single mutants
P10514493A0199|139|4 25|NTR-1 promoter sequences
P09275164A0000|119|4 25|RNA guanylyltransferase
P07807002A0500|91|4 25|luciferase reporter gene
P02863492A0544|102|4 25|platelet-associated IgG
P09154795A0628|79|4 25|human DNA polymerase beta
P09716179A0974|87|4 25|cyclin-dependent kinase
P02052544A0641|100|4 25|DNA polymerase II complex
P07588245T0000|80|4 25|thyroid hormone receptor
P07896088A0720|146|4 25|RIF1 interaction domains
P09660836A0983|134|4 25|deltaN3-S218E/S222D MEK
P09710621A0598|87|4 25|Neu juxtamembrane domain
P07721422A0241|89|4 25|mouse type 2 receptor gene
P07633444T0000|108|4 25|myotonic dystrophy locus
P02233680A1115|85|4 25|HaG3-A helianthinin gene
P08496601A1153|181|4 25|muMIP-1 alpha 5' promoter
P09639074A0707|99|4 25|NF-kappaB-proximal site
P09638650A0169|231|4 25|24 kDa coat protein (OFR5)
P02844767A0191|100|4 25|apocytochrome f proteins
P11369700A0616|158|4 25|luciferase reporter gene
P10704499A0682|69|4 25|fibroblast growth factor
P08576131A0685|117|4 25|recombinant USF proteins
P08844448A0000|152|4 25|gastrointestinal lipase
P01827068T0000|81|4 25|T cell receptor alpha gene
P09832518A0615|94|4 25|Cdc68 functional homolog
P09599897A0000|186|4 25|serum C-reactive protein
P08922391A0304|93|4 25|protein 4.1-binding site
P09092636A0802|104|4 25|DYZ3 satellite sequences
P08306959A0278|101|4 25|IFN gamma activation site
P11429702A0917|157|4 25|Y373C and K650E receptors
P07673178A0982|102|4 25|MDF/bH-L-H heterodimers
P10194769A0146|80|4 25|417-amino acid WD protein
P10749849A0000|120|4 25|cyclin-dependent kinase
P10209119A0076|146|4 25|cyclin-dependent kinase
P10767560A0105|126|4 25|mouse Pkr promoter region
P08816759A0000|91|4 25|thyroid hormone receptor
P09566918A1115|164|4 25|ISRE regulatory elements
P10344736A0796|83|4 25|cyclin E immunocomplexes
P10347220A1477|116|4 25|RNA guanylyltransferase
P08334989A0070|184|4 25|luciferase reporter gene
P10440923A0684|111|4 25|cyclin-dependent kinase
P07600986A0605|83|4 25|Engrailed-binding sites
P10406466A0000|91|4 25|orphan nuclear receptors
P08816459A0090|100|4 25|thyroid hormone receptor
P08820648A0123|124|4 25|nrdAB-defective mutants
P08622698T0000|86|4 25|Epstein-Barr virus EBNA2
P02543734A0414|85|4 25|IE1/2 enhancer/promoter
P09774444A0351|137|4 25|Sp1 recognition sequence
P09203585A0660|82|4 25|neo replacement cassette
P08432137A0000|191|4 25|pleural interferon gamma
P09172414A0000|120|4 25|serum and liver esterases
P09305755A0540|95|4 25|CAAT-box binding protein
P10873387A0816|81|4 25|mouse synaptophysin gene
P01653236A0895|92|4 25|glucocorticoid receptor
P09311796A0218|90|4 25|TATA-box binding protein
P07537267A2094|183|4 25|fetal gamma-globin genes
P01898928A0260|110|4 25|Escherichia coli fur gene
P09115395A0478|125|4 25|Elongation factor 1gamma
P09115395A0478|305|4 25|innercentrosome protein
P08415712A1153|172|4 25|Huntington disease locus
P08626809A0729|114|4 25|eIF-2alpha kinase family
P08446579A0784|140|4 25|herpesvirus protein VP16
P11145562A0468|82|4 25|simian virus-40 T antigen
P08400928A0318|94|4 25|levodopa/decarboxylase
P03507689A0000|191|4 25|beta-galactosidase gene
P08986214A0000|153|4 25|hepatocyte growth factor
P08985122A0501|136|4 25|transcription factor SP1
P08396713A0305|188|4 25|90-kDa heat shock protein
P08504928T0000|112|4 25|TATA box-binding subunit
P11220166A0616|169|4 25|brain dopamine receptors
P01542667A0125|156|4 25|IFN-gamma-encoding gene
P11224226A0000|116|4 25|benzodiazepine receptor
P01656220T0000|79|4 25|receptor tyrosine kinase
P07644466A0578|61|4 25|serine proteinase domain
P08887652A0341|130|4 25|con-10 open reading frame
P08550564T0000|130|4 25|interleukin-8 receptor B
P11353774A0255|174|4 25|nuclear hormone receptor
P11559547T0000|89|4 25|orphan nuclear receptors
P08887674A0630|86|4 25|Ets-responsive elements
P11560992A0000|176|4 25|c-Jun N-terminal kinases
P08595878A0201|85|4 25|receptor tyrosine kinase
P11532856A1175|181|4 25|c-Jun-N-terminal kinase
P01309593A1092|190|4 24|ribosomal protein genes
P08468475A1280|190|4 24|F42A-IL-2R beta complex
P11740571A0114|87|4 24|glutathione peroxidase
P11595176T0000|90|4 24|AF1q translocation gene
P11371417A0744|150|4 24|interleukin (IL)-1beta
P07628456A0000|179|4 24|dsRNA-dependent kinase
P09090054A0186|132|4 24|alpha-glucosidase gene
P07624581A0312|134|4 24|glutamine transaminase
P11254504A0766|81|4 24|early growth response-1
P11409425A0000|176|4 24|apolipoprotein (Apo) E2
P10092847A0455|106|4 24|metallothionein-I gene
P01536575A1213|152|4 24|cytochrome P450IA1 gene
P10330146A0730|82|4 24|AUF1-binding sequences
P08057421A1583|166|4 24|EBV LMP-1 promoter sites
P08917696A0485|289|4 24|firefly luciferase gene
P09333026A0851|200|4 24|epidermal growth factor
P09328824A0000|204|4 24|retinoic acid receptors
P01448917A0775|208|4 24|32K proteinase cofactor
P09335619A0583|174|4 24|atp9 mitochondrial gene
P07514295A0000|80|4 24|T-cell antigen receptor
P07511818A0485|201|4 24|human IFN-beta sequence
P10447593A0144|107|4 24|bacterial sigma factors
P10440923A0684|250|4 24|retinoblastoma protein
P10454568A0815|125|4 24|epidermal growth factor
P10430883A0000|293|4 24|horseradish peroxidase
P08621448A0862|81|4 24|C1 site-binding protein
P08621384A0935|90|4 24|epidermal growth factor
P09351242A0719|211|4 24|aba1 Arabidopsis mutant
P02473907A1338|147|4 24|Fc epsilon R binding site
P09369451A0693|84|4 24|myocyte enhancer factor
P01713213A0000|183|4 24|protein tyrosine kinase
P01968224A0119|187|4 24|human PCNA polypeptides
P09362473A1540|271|4 24|twist expression domain
P09380697T0000|99|4 24|low density lipoprotein
P07816619A0000|141|4 24|cAMP phosphodiesterase
P07535768A1076|108|4 24|MAP kinase phosphatases
P06318322A0350|180|4 24|viral-sis messenger RNA
P06726257T0000|119|4 24|serotonin autoreceptor
P09694869A0932|152|4 24|dominant negative Stat3
P09694725A0500|146|4 24|human IL-1beta promoter
P02298741A0809|218|4 24|anti-PKC alpha antibody
P07862533A0000|153|4 24|early growth response-1
P09259315A0809|147|4 24|CSEn enhancer/silencer
P10570996A1213|193|4 24|insulin-like receptors
P11158337A0000|218|4 24|steroidogenic factor-1
P10586074A0129|74|4 24|envelope glycoprotein E
P11207308A0999|138|4 24|c-Jun N-terminal kinase
P09638650A0169|147|4 24|26 kDa movement protein 1
P09638650A0169|175|4 24|13 kDa movement protein 2
P09638650A0169|203|4 24|10 kDa movement protein 3
P10665798A0598|83|4 24|creatine phosphokinase
P08108343A0000|242|4 24|pituitary gonadotropin
P10669596A0430|126|4 24|ATP-dependent nuclease
P07739542A1419|98|4 24|retinoblastoma protein
P09482902A0942|161|4 24|retinoblastoma protein
P11226752A0750|120|4 24|basic helix-loop-helix
